Date,Hour,Year,Whale,Boat
9/17/20,20,2020,1,0
9/17/20,21,2020,1,0
9/17/20,22,2020,1,0
9/17/20,23,2020,1,0
9/18/20,0,2020,1,0
9/18/20,1,2020,1,0
9/18/20,2,2020,1,0
9/18/20,3,2020,1,0
9/18/20,4,2020,1,0
9/18/20,5,2020,1,0
9/18/20,6,2020,1,0
9/18/20,7,2020,1,0
9/18/20,8,2020,1,0
9/18/20,9,2020,1,0
9/18/20,10,2020,1,0
9/18/20,11,2020,1,0
9/18/20,12,2020,1,1
9/18/20,13,2020,1,0
9/18/20,14,2020,1,0
9/18/20,15,2020,1,0
9/18/20,16,2020,1,0
9/18/20,17,2020,1,0
9/18/20,18,2020,1,0
9/18/20,19,2020,1,0
9/18/20,20,2020,1,0
9/18/20,21,2020,1,0
9/18/20,22,2020,1,0
9/18/20,23,2020,1,0
9/19/20,0,2020,1,0
9/19/20,1,2020,1,0
9/19/20,2,2020,1,0
9/19/20,3,2020,1,0
9/19/20,4,2020,1,0
9/19/20,5,2020,1,0
9/19/20,6,2020,1,0
9/19/20,7,2020,1,0
9/19/20,8,2020,1,0
9/19/20,9,2020,1,0
9/19/20,10,2020,1,0
9/19/20,11,2020,1,0
9/19/20,12,2020,1,0
9/19/20,13,2020,1,1
9/19/20,14,2020,1,0
9/19/20,15,2020,1,0
9/19/20,16,2020,1,0
9/19/20,17,2020,1,0
9/19/20,18,2020,1,0
9/19/20,19,2020,1,0
9/19/20,20,2020,1,0
9/19/20,21,2020,1,0
9/19/20,22,2020,1,0
9/19/20,23,2020,1,0
9/20/20,0,2020,1,0
9/20/20,1,2020,1,0
9/20/20,2,2020,1,0
9/20/20,3,2020,1,0
9/20/20,4,2020,1,0
9/20/20,5,2020,1,0
9/20/20,6,2020,1,0
9/20/20,7,2020,1,0
9/20/20,8,2020,1,0
9/20/20,9,2020,1,0
9/20/20,10,2020,1,0
9/20/20,11,2020,1,0
9/20/20,12,2020,1,1
9/20/20,13,2020,1,0
9/20/20,14,2020,1,0
9/20/20,15,2020,1,1
9/20/20,16,2020,1,0
9/20/20,17,2020,1,0
9/20/20,18,2020,1,0
9/20/20,19,2020,1,0
9/20/20,20,2020,1,0
9/20/20,21,2020,1,0
9/20/20,22,2020,1,0
9/20/20,23,2020,1,0
9/21/20,0,2020,1,0
9/21/20,1,2020,1,0
9/21/20,2,2020,1,0
9/21/20,3,2020,1,0
9/21/20,4,2020,1,0
9/21/20,5,2020,1,0
9/21/20,6,2020,1,0
9/21/20,7,2020,1,0
9/21/20,8,2020,1,0
9/21/20,9,2020,1,0
9/21/20,10,2020,1,0
9/21/20,11,2020,1,0
9/21/20,12,2020,1,0
9/21/20,13,2020,1,0
9/21/20,14,2020,1,0
9/21/20,15,2020,1,0
9/21/20,16,2020,1,0
9/21/20,17,2020,1,0
9/21/20,18,2020,1,0
9/21/20,19,2020,1,0
9/21/20,20,2020,1,0
9/21/20,21,2020,1,0
9/21/20,22,2020,1,0
9/21/20,23,2020,1,0
9/22/20,0,2020,1,0
9/22/20,1,2020,1,0
9/22/20,2,2020,1,0
9/22/20,3,2020,1,0
9/22/20,4,2020,1,0
9/22/20,5,2020,1,0
9/22/20,6,2020,1,0
9/22/20,7,2020,1,0
9/22/20,8,2020,1,0
9/22/20,9,2020,1,0
9/22/20,10,2020,1,0
9/22/20,11,2020,1,0
9/22/20,12,2020,1,0
9/22/20,13,2020,1,0
9/22/20,14,2020,1,0
9/22/20,15,2020,1,0
9/22/20,16,2020,1,0
9/22/20,17,2020,1,0
9/22/20,18,2020,1,0
9/22/20,19,2020,1,0
9/22/20,20,2020,1,0
9/22/20,21,2020,1,0
9/22/20,22,2020,1,0
9/22/20,23,2020,1,0
9/23/20,0,2020,1,0
9/23/20,1,2020,1,0
9/23/20,2,2020,1,0
9/23/20,3,2020,1,0
9/23/20,4,2020,1,0
9/23/20,5,2020,1,0
9/23/20,6,2020,1,0
9/23/20,7,2020,1,0
9/23/20,8,2020,1,0
9/23/20,9,2020,1,0
9/23/20,10,2020,1,0
9/23/20,11,2020,1,0
9/23/20,12,2020,1,0
9/23/20,13,2020,1,0
9/23/20,14,2020,1,0
9/23/20,15,2020,1,0
9/23/20,16,2020,1,0
9/23/20,17,2020,1,0
9/23/20,18,2020,1,0
9/23/20,19,2020,1,0
9/23/20,20,2020,1,0
9/23/20,21,2020,1,0
9/23/20,22,2020,1,0
9/23/20,23,2020,1,0
9/24/20,0,2020,1,0
9/24/20,1,2020,1,0
9/24/20,2,2020,1,0
9/24/20,3,2020,1,0
9/24/20,4,2020,1,0
9/24/20,5,2020,1,0
9/24/20,6,2020,1,0
